filename,latitude,longitude,height,roll,pitch,heading,date,time,unix_time_sec,distancetoprevious
003491-20211011-130642-000000060,2.416403,102.736829,25.569442749,0,0,145.0846653681,2021-10-11,13:07:35,1633928855,3.226
003491-20211011-130642-000000061,2.416380,102.736845,25.7234287262,0,0,146.343537534,2021-10-11,13:07:35,1633928855,3.134
003491-20211011-130642-000000062,2.416355,102.736861,25.8494644165,0,0,147.8885399847,2021-10-11,13:07:36,1633928856,3.277
003491-20211011-130642-000000063,2.416331,102.736876,25.9421272278,0,0,148.888834849,2021-10-11,13:07:36,1633928856,3.072
003491-20211011-130642-000000064,2.416307,102.736890,26.0535373688,0,0,150.0573572726,2021-10-11,13:07:37,1633928857,3.183
003491-20211011-130642-000000065,2.416281,102.736905,26.1620044708,0,0,151.0272304744,2021-10-11,13:07:37,1633928857,3.256
003491-20211011-130642-000000066,2.416255,102.736919,26.2672538757,0,0,152.0359811129,2021-10-11,13:07:38,1633928858,3.316
003491-20211011-130642-000000067,2.416231,102.736931,26.34034729,0,0,152.6800406308,2021-10-11,13:07:38,1633928858,3.027
003491-20211011-130642-000000068,2.416206,102.736944,26.4380836487,0,0,152.9626328776,2021-10-11,13:07:39,1633928859,3.083
003491-20211011-130642-000000069,2.416181,102.736956,26.4731693268,0,0,153.3591936608,2021-10-11,13:07:39,1633928859,3.142
003491-20211011-130642-000000070,2.416155,102.736969,26.5838794708,0,0,153.609957226,2021-10-11,13:07:40,1633928860,3.218
003491-20211011-130642-000000071,2.416129,102.736982,26.6570091248,0,0,153.5741670347,2021-10-11,13:07:40,1633928860,3.241
003491-20211011-130642-000000072,2.416102,102.736995,26.7548904419,0,0,153.7085168557,2021-10-11,13:07:41,1633928861,3.333
003491-20211011-130642-000000073,2.416077,102.737007,26.7600307465,0,0,153.8214608638,2021-10-11,13:07:41,1633928861,3.017
003491-20211011-130642-000000074,2.416052,102.737019,26.9463500977,0,0,153.8940111332,2021-10-11,13:07:41,1633928861,3.106
003491-20211011-130642-000000075,2.416026,102.737031,27.0444908142,0,0,154.0336611809,2021-10-11,13:07:42,1633928862,3.154
003491-20211011-130642-000000076,2.416000,102.737044,27.1114273071,0,0,154.2147158355,2021-10-11,13:07:42,1633928862,3.208
003491-20211011-130642-000000077,2.415974,102.737056,27.1974029541,0,0,154.3910576595,2021-10-11,13:07:43,1633928863,3.265
003491-20211011-130642-000000078,2.415947,102.737069,27.2863407135,0,0,154.6450587343,2021-10-11,13:07:43,1633928863,3.281
003491-20211011-130642-000000079,2.415920,102.737081,27.4238262177,0,0,154.9044829794,2021-10-11,13:07:43,1633928863,3.344
003491-20211011-130642-000000080,2.415892,102.737094,27.5849895477,0,0,155.1223386931,2021-10-11,13:07:44,1633928864,3.38
003491-20211011-130642-000000081,2.415864,102.737107,27.7351570129,0,0,155.2882439881,2021-10-11,13:07:44,1633928864,3.409
003491-20211011-130642-000000082,2.415840,102.737118,27.8818531036,0,0,155.3990979583,2021-10-11,13:07:45,1633928865,3.001
003491-20211011-130642-000000083,2.415812,102.737131,28.0467205048,0,0,155.4949938142,2021-10-11,13:07:45,1633928865,3.43
